date,campaign_id,campaign_name,channel,spend,impressions,clicks
2025-07-20,SEA-001,Brand Search,Paid Search,1061.81,27862,72
2025-07-20,SEA-002,Competitor Conquest,Paid Search,1562.11,44510,109
2025-07-20,SOC-010,Summer Splash,Paid Social,520.09,19387,38
2025-07-20,SOC-011,Back-to-School,Paid Social,650.57,33444,35
2025-07-20,DSP-100,Awareness Blast,Display,555.45,24607,34
2025-07-20,AFF-200,Top Affiliates,Affiliate,92.71,3690,10
2025-07-21,SEA-001,Brand Search,Paid Search,551.58,17909,50
2025-07-21,SEA-002,Competitor Conquest,Paid Search,777.28,43366,57
2025-07-21,SOC-010,Summer Splash,Paid Social,1406.25,30669,88
2025-07-21,SOC-011,Back-to-School,Paid Social,1294.49,53990,78
2025-07-21,DSP-100,Awareness Blast,Display,244.73,12454,19
2025-07-21,AFF-200,Top Affiliates,Affiliate,175.46,4322,16
2025-07-22,SEA-001,Brand Search,Paid Search,1794.66,58217,125
2025-07-22,SEA-002,Competitor Conquest,Paid Search,1456.34,70675,92
2025-07-22,SOC-010,Summer Splash,Paid Social,973.53,39826,62
2025-07-22,SOC-011,Back-to-School,Paid Social,337.72,13624,22
2025-07-22,DSP-100,Awareness Blast,Display,446.23,13008,28
2025-07-22,AFF-200,Top Affiliates,Affiliate,271.69,14904,15
2025-07-23,SEA-001,Brand Search,Paid Search,1705.51,89193,112
2025-07-23,SEA-002,Competitor Conquest,Paid Search,665.08,36199,47
2025-07-23,SOC-010,Summer Splash,Paid Social,912.9,22634,63
2025-07-23,SOC-011,Back-to-School,Paid Social,922.55,54311,60
2025-07-23,DSP-100,Awareness Blast,Display,498.35,15644,33
2025-07-23,AFF-200,Top Affiliates,Affiliate,367.89,10883,22
2025-07-24,SEA-001,Brand Search,Paid Search,717.34,33632,43
2025-07-24,SEA-002,Competitor Conquest,Paid Search,1592.32,65971,110
2025-07-24,SOC-010,Summer Splash,Paid Social,1302.36,28171,95
2025-07-24,SOC-011,Back-to-School,Paid Social,914.51,24668,65
2025-07-24,DSP-100,Awareness Blast,Display,762.04,25636,49
2025-07-24,AFF-200,Top Affiliates,Affiliate,235.38,6984,18
2025-07-25,SEA-001,Brand Search,Paid Search,768.68,26110,53
2025-07-25,SEA-002,Competitor Conquest,Paid Search,2102.46,117616,141
2025-07-25,SOC-010,Summer Splash,Paid Social,342.61,9056,32
2025-07-25,SOC-011,Back-to-School,Paid Social,681.59,33984,47
2025-07-25,DSP-100,Awareness Blast,Display,670.73,23280,40
2025-07-25,AFF-200,Top Affiliates,Affiliate,362.58,14541,20
2025-07-26,SEA-001,Brand Search,Paid Search,1616.9,33910,102
2025-07-26,SEA-002,Competitor Conquest,Paid Search,2110.62,120585,143
2025-07-26,SOC-010,Summer Splash,Paid Social,1734.95,61424,113
2025-07-26,SOC-011,Back-to-School,Paid Social,1230.55,29394,86
2025-07-26,DSP-100,Awareness Blast,Display,387.22,19218,31
2025-07-26,AFF-200,Top Affiliates,Affiliate,453.65,25644,35
2025-07-27,SEA-001,Brand Search,Paid Search,1660.54,86068,109
2025-07-27,SEA-002,Competitor Conquest,Paid Search,1318.24,54978,91
2025-07-27,SOC-010,Summer Splash,Paid Social,1358.9,46756,90
2025-07-27,SOC-011,Back-to-School,Paid Social,623.55,25724,36
2025-07-27,DSP-100,Awareness Blast,Display,797.68,26258,49
2025-07-27,AFF-200,Top Affiliates,Affiliate,522.66,25003,39
2025-07-28,SEA-001,Brand Search,Paid Search,1408.23,68417,87
2025-07-28,SEA-002,Competitor Conquest,Paid Search,2368.77,70847,162
2025-07-28,SOC-010,Summer Splash,Paid Social,1347.05,29135,92
2025-07-28,SOC-011,Back-to-School,Paid Social,480.83,17960,35
2025-07-28,DSP-100,Awareness Blast,Display,704.46,31725,52
2025-07-28,AFF-200,Top Affiliates,Affiliate,304.52,13225,20
2025-07-29,SEA-001,Brand Search,Paid Search,2364.01,98873,156
2025-07-29,SEA-002,Competitor Conquest,Paid Search,2194.67,45493,149
2025-07-29,SOC-010,Summer Splash,Paid Social,1515.35,31717,98
2025-07-29,SOC-011,Back-to-School,Paid Social,1500.22,78220,104
2025-07-29,DSP-100,Awareness Blast,Display,908.66,33170,66
2025-07-29,AFF-200,Top Affiliates,Affiliate,265.25,13310,14
2025-07-30,SEA-001,Brand Search,Paid Search,783.01,43708,53
2025-07-30,SEA-002,Competitor Conquest,Paid Search,2287.91,75836,151
2025-07-30,SOC-010,Summer Splash,Paid Social,1356.05,53939,90
2025-07-30,SOC-011,Back-to-School,Paid Social,1560.34,78735,100
2025-07-30,DSP-100,Awareness Blast,Display,280.98,14856,16
2025-07-30,AFF-200,Top Affiliates,Affiliate,241.52,13981,17
2025-07-31,SEA-001,Brand Search,Paid Search,2638.29,111695,180
2025-07-31,SEA-002,Competitor Conquest,Paid Search,744.74,18434,48
2025-07-31,SOC-010,Summer Splash,Paid Social,1498.43,52437,103
2025-07-31,SOC-011,Back-to-School,Paid Social,1620.3,90163,106
2025-07-31,DSP-100,Awareness Blast,Display,339.74,13903,29
2025-07-31,AFF-200,Top Affiliates,Affiliate,406.93,12711,31
2025-08-01,SEA-001,Brand Search,Paid Search,1925.62,59877,127
2025-08-01,SEA-002,Competitor Conquest,Paid Search,1030.03,61233,61
2025-08-01,SOC-010,Summer Splash,Paid Social,943.32,44703,66
2025-08-01,SOC-011,Back-to-School,Paid Social,1419.27,29882,102
2025-08-01,DSP-100,Awareness Blast,Display,792.37,34678,54
2025-08-01,AFF-200,Top Affiliates,Affiliate,195.19,6038,12
2025-08-02,SEA-001,Brand Search,Paid Search,584.56,34995,46
2025-08-02,SEA-002,Competitor Conquest,Paid Search,1917.15,48247,129
2025-08-02,SOC-010,Summer Splash,Paid Social,1027.41,45951,64
2025-08-02,SOC-011,Back-to-School,Paid Social,924.37,49996,60
2025-08-02,DSP-100,Awareness Blast,Display,725.99,18411,55
2025-08-02,AFF-200,Top Affiliates,Affiliate,172.71,7529,15
2025-08-03,SEA-001,Brand Search,Paid Search,1088.37,44143,70
2025-08-03,SEA-002,Competitor Conquest,Paid Search,1433.13,81779,102
2025-08-03,SOC-010,Summer Splash,Paid Social,609.89,24215,46
2025-08-03,SOC-011,Back-to-School,Paid Social,391.04,10196,18
2025-08-03,DSP-100,Awareness Blast,Display,309.13,17271,30
2025-08-03,AFF-200,Top Affiliates,Affiliate,109.13,3398,5
2025-08-04,SEA-001,Brand Search,Paid Search,765.52,21628,51
2025-08-04,SEA-002,Competitor Conquest,Paid Search,1535.59,35733,90
2025-08-04,SOC-010,Summer Splash,Paid Social,1405.05,73410,89
2025-08-04,SOC-011,Back-to-School,Paid Social,744.57,25878,52
2025-08-04,DSP-100,Awareness Blast,Display,222.01,10775,14
2025-08-04,AFF-200,Top Affiliates,Affiliate,236.42,7021,20
2025-08-05,SEA-001,Brand Search,Paid Search,903.86,25722,56
2025-08-05,SEA-002,Competitor Conquest,Paid Search,1835.79,73317,120
2025-08-05,SOC-010,Summer Splash,Paid Social,944.53,35199,61
2025-08-05,SOC-011,Back-to-School,Paid Social,1075.1,63926,68
2025-08-05,DSP-100,Awareness Blast,Display,261.07,7789,15
2025-08-05,AFF-200,Top Affiliates,Affiliate,78.08,3199,3
2025-08-06,SEA-001,Brand Search,Paid Search,1115.6,65573,75
2025-08-06,SEA-002,Competitor Conquest,Paid Search,886.85,37487,60
2025-08-06,SOC-010,Summer Splash,Paid Social,635.97,20953,43
2025-08-06,SOC-011,Back-to-School,Paid Social,437.8,18934,15
2025-08-06,DSP-100,Awareness Blast,Display,519.55,17386,31
2025-08-06,AFF-200,Top Affiliates,Affiliate,215.05,7843,18
2025-08-07,SEA-001,Brand Search,Paid Search,1023.3,25553,69
2025-08-07,SEA-002,Competitor Conquest,Paid Search,771.85,41427,51
2025-08-07,SOC-010,Summer Splash,Paid Social,1254.32,33328,86
